,Date,Text,Ticker
0,Sat Feb 20 23:59:54 +0000 2021,"RT @kaycemick: https://t.co/WQkrer9EYI is a new social platform that is #Facebook alternative. Great opportunity for #lifestyle, #health, #…",
1,Sat Feb 20 23:59:53 +0000 2021,@madden_tron TAGLIO. Best pizza I ever had in my life. OTR location was cool. #Cincinnati #DetroitStylePizza 🍕,
2,Sat Feb 20 23:59:49 +0000 2021,TRON買いましたけぇの。 BTCの高騰。ガンダルフの復活。そしてｶｽﾞﾏｧ‥‥   わしにはわかる‥ｷﾞｯ‥‥TRONが‥flashする日が近い‥ｷﾞｯ‥ミナスティリス‥‥,
3,Sat Feb 20 23:59:46 +0000 2021,"RT @GoingGreenPicks: $PVSP, Last trade .0014. Huge things happening according to management. See you at .01 imo.
$IDEX $LLLI $BDGR $WYNN $O…",
4,Sat Feb 20 23:59:41 +0000 2021,"🐳 #Cardano $ADA Whale ❤️laced!
💰 Transaction Amount: 5.1M ₳D₳ / 5.81M USD 
👁️ Tx info:
➡️ https://t.co/avsQVMWpCq… https://t.co/jzQrMm1I81",
5,Sat Feb 20 23:59:37 +0000 2021,"cardano catalystでも提案できまっせ〜😎　#ADA $ADA #cardano

https://t.co/8rxGdi4t0Y",
6,Sat Feb 20 23:59:36 +0000 2021,"@Solana_005 @Green59738247 @Alvisepf Exactamente!
Deportarlos. Los vuelos a Casablanca son un 70% menos costoso que… https://t.co/wApOoGiAAO",
7,Sat Feb 20 23:59:32 +0000 2021,"Perdagangan Tren Bearish, Harga Uang Kripto EOS Jatuh 10% https://t.co/j8IryOJmuF #Terbaru #berita #bisnis",
8,Sat Feb 20 23:59:30 +0000 2021,"RT @MacsAficio: The market doesn't give a fuck about your emotions!
If you can't manage the pain you don't deserve the gains!

#cryptocurre…",
9,Sat Feb 20 23:59:28 +0000 2021,"RT @domtom9dev: If Tron baddy colour schemes are anything to go by...

#lowpoly #scifi #gamedev #indiedev #blender #Aircraft #screenshotsat…",
